Date,frp
01/10/2004,107
02/10/2004,
03/10/2004,111.1347826
04/10/2004,110.7818182
05/10/2004,76.23333333
06/10/2004,51.31428571
07/10/2004,95.19230769
08/10/2004,129.9666667
09/10/2004,80.33636364
10/10/2004,79.88823529
11/10/2004,63.1
12/10/2004,27.8
13/10/2004,23.2
14/10/2004,
15/10/2004,110.1545455
16/10/2004,116.35
17/10/2004,93.27142857
18/10/2004,119.475
19/10/2004,125.8307692
20/10/2004,40.1
21/10/2004,135.2833333
22/10/2004,89.375
23/10/2004,65.56666667
24/10/2004,54.33333333
25/10/2004,27.6
26/10/2004,28.11666667
27/10/2004,40.34
28/10/2004,43.58
29/10/2004,49.225
30/10/2004,85.95
31/10/2004,
01/11/2004,46.52
02/11/2004,50.10952381
03/11/2004,89.475
04/11/2004,44.94
05/11/2004,39.2
06/11/2004,73.54
07/11/2004,120.75
08/11/2004,28.36666667
09/11/2004,44.46153846
10/11/2004,45.44666667
11/11/2004,80.75
12/11/2004,48.04166667
13/11/2004,80.31428571
14/11/2004,53.2952381
15/11/2004,77
16/11/2004,30.6
17/11/2004,44.01176471
18/11/2004,30.4375
19/11/2004,19
20/11/2004,59.34166667
21/11/2004,61.68888889
22/11/2004,72.18888889
23/11/2004,27.45
24/11/2004,44.28
25/11/2004,
26/11/2004,
27/11/2004,
28/11/2004,36.8
29/11/2004,148.1
30/11/2004,112.55
01/12/2004,42.5
02/12/2004,
03/12/2004,45.50666667
04/12/2004,67.70833333
05/12/2004,48.875
06/12/2004,112.2555556
07/12/2004,58.38
08/12/2004,85.94444444
09/12/2004,97.56818182
10/12/2004,91.065
11/12/2004,71.53103448
12/12/2004,35.68666667
13/12/2004,138.2944444
14/12/2004,161.4333333
15/12/2004,76.32
16/12/2004,72.46428571
17/12/2004,78.65
18/12/2004,35.81875
19/12/2004,59.615
20/12/2004,23.2
21/12/2004,
22/12/2004,113.66
23/12/2004,173.575
24/12/2004,
25/12/2004,63.27777778
26/12/2004,68.83125
27/12/2004,19.25
28/12/2004,65.05294118
29/12/2004,32.55
30/12/2004,70.95217391
31/12/2004,
01/01/2005,34.05
02/01/2005,
